HRV_SDNN,HRV_RMSSD,HRV_pNN50,HRV_MeanNN,species,target_hr,SDNN,RMSSD,pNN50,mean_hr,std_hr,VLF,LF,HF,LF_HF,SD1,SD2,sample_entropy,approximate_entropy,alpha1,alpha2
66.15813684906493,52.92650947925195,15.0,615.0811147768161,dog,97.54810960465136,66.15813684906493,52.92650947925195,15.0,38.14900528273082,52.77605563858311,59.11731745039306,53.758264737246215,48.46351766575227,52.69671414605094,49.10108675358667,23.215141815164472,51.60696165710258,51.69800304314141,49.67009289223875,49.153026911944806
43.34011241234674,34.672089929877394,15.0,657.1563281825041,dog,91.30247617936188,43.34011241234674,34.672089929877394,15.0,57.374028956891046,62.463970366095296,32.55167331073216,51.98595943294113,38.63352783039778,53.054827148114285,52.07938375600919,48.40064751948425,56.86923995322613,28.683475815533463,62.13097395498995,54.78489197737218
27.11726178165027,21.693809425320218,15.0,435.3100452316653,dog,137.83279448115866,27.11726178165027,21.693809425320218,15.0,37.11898020509949,46.04405800306711,44.37679379605026,34.67071484361473,72.49037649737903,63.580728933409716,71.72045864050882,39.24227766152751,38.19229836536894,45.82614275087926,54.358541543233876,47.709379680175225
84.31578891049153,67.45263112839324,15.0,568.2887235623695,dog,105.5801347313115,84.31578891049153,67.45263112839324,15.0,42.403123928335866,57.78860607602694,50.06508046821187,53.88342256111719,53.19241564013061,76.20366934118084,38.288071694045996,55.80955787739653,38.94952852568727,47.03763398442014,41.0295450778185,61.14623948548065
37.10261589444055,29.68209271555244,15.0,853.6475076143125,dog,70.28662236440181,37.10261589444055,29.68209271555244,15.0,66.6393335837411,32.47303138482127,55.82153725202724,47.48883691579272,54.49664767674538,50.430894200281806,37.62867142863618,58.69295445618616,47.00791106820573,49.155887106026626,60.38031417025882,54.31658653304444
60.21525241150181,48.17220192920145,15.0,649.5807497522115,dog,92.36726923155827,60.21525241150181,48.17220192920145,15.0,38.548780951522176,49.23048345235872,54.34126793848214,41.601840891090355,47.620027663839686,43.60060492817789,57.08659646673534,55.95453703317282,49.23214868135791,43.414393459537244,38.847038305881256,37.875385988428064
53.20958231595906,42.56766585276725,15.0,569.6429929061807,dog,105.32912850186136,53.20958231595906,42.56766585276725,15.0,58.42375312792508,36.768703088496245,51.42318166102876,59.26592701209253,46.90835273527142,45.384267199274305,48.098618738187284,46.96834341824314,52.09846704428759,39.65102165284415,42.01735297408835,43.51707554108944
12.964647471179788,10.371717976943831,15.0,555.6755009358093,dog,107.97668765125404,12.964647471179788,10.371717976943831,15.0,59.90154842505674,59.04649472112935,55.71654064521507,59.15207451393306,57.13565192626274,46.763400912472896,48.05332789157023,72.17718310124081,63.38568329224541,55.87013818994447,31.05774167079898,39.7989597102864
41.60153391567619,33.281227132540955,15.0,717.2661014730775,dog,83.65096283900166,41.60153391567619,33.281227132540955,15.0,53.12772564948801,50.301409209510126,61.249804146336935,46.469403936331894,59.53549959275447,64.89595083514034,49.176582783829836,34.59519632108049,42.32142095690418,53.60729926008675,58.02798113228769,55.80550053797392
50.096701488817594,40.07736119105408,15.0,494.1984114008729,dog,121.4087269724761,50.096701488817594,40.07736119105408,15.0,61.45216723500776,36.040170207716216,40.22564105490598,48.304889536017804,54.10958900502947,54.96226645119907,56.49838832593352,41.25823086227169,40.64177343138275,66.40225638638451,57.65706827710976,50.429115870189136
